kind,title,book_link,authors,trans,publisher,pub_date,price,point,selling_point,n_reviews,rating
[도서],너에게 들려주는 단단한 말,https://www.yes24.com/Product/Goods/128266166,"
김종원 저
                            ",,퍼스트펭귄,2024년 07월,"16,200",900원,"308,871",31,9.9
[도서],하루 한 장 나의 어휘력을 위한 필사 노트,https://www.yes24.com/Product/Goods/125557465,"
유선경 저
                            ",,위즈덤하우스,2024년 03월,"21,420","1,190원","566,871",209,9.6
[만화],괴수 8호 side B 1,https://www.yes24.com/Product/Goods/129392822,"['\n마츠모토 나오야 원저', 'Kentaro Hidano 글그림']","유유리 역
                            ",서울미디어코믹스(서울문화사),2024년 07월,"5,400",300원,"66,360",11,10.0
[도서],허송세월,https://www.yes24.com/Product/Goods/126845471,"
김훈 저
                            ",,나남,2024년 06월,"16,200",900원,"232,881",53,9.2
[도서],불변의 법칙,https://www.yes24.com/Product/Goods/124999476,['\n모건 하우절 저'],"이수경 역
                            ",서삼독,2024년 02월,"22,500","1,250원","587,454",383,9.5
[도서],세이노의 가르침,https://www.yes24.com/Product/Goods/117014613,"
세이노(SayNo) 저
                            ",,데이원,2023년 03월,"6,480",360원,"1,116,114","2,357",9.0
[도서],셰프의 가벼운 레스토랑,https://www.yes24.com/Product/Goods/129404495,"
송사월 저
                            ",,용감한까치,2024년 07월,"18,900","1,050원","47,850",,
[도서],죽이고 싶은 아이 2,https://www.yes24.com/Product/Goods/128133897,"
이꽃님 저
                            ",,우리학교,2024년 07월,"12,600",700원,"197,799",56,9.9
[도서],ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,https://www.yes24.com/Product/Goods/124043812,"
ETS 저
                            ",,YBM(와이비엠),2023년 12월,"17,820",990원,"448,581",164,9.6
[도서],초등 첫 문해력 신문,https://www.yes24.com/Product/Goods/128939189,"
이다희 글/서희진 그림
                            ",,아울북,2024년 07월,"17,820",990원,"59,466",28,10.0
[도서],ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,https://www.yes24.com/Product/Goods/124043802,"
ETS 저
                            ",,YBM(와이비엠),2023년 12월,"17,820",990원,"421,101",143,9.8
[도서],"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화 (1,2,3급)",https://www.yes24.com/Product/Goods/124539805,"
최태성 저
                            ",,이투스북 ,2024년 01월,"17,550",970원,"220,494",53,9.9
[도서],당신이 누군가를 죽였다,https://www.yes24.com/Product/Goods/128917300,['\n히가시노 게이고 저 ']," 최고은 역
                            ",북다,2024년 07월,"17,820",990원,"65,166",11,9.8
[도서],나는 고발한다,https://www.yes24.com/Product/Goods/128912957,"
김현철, 백정화 저
                            ",,PARK&JEONG,2024년 07월,"18,000","1,000원","88,068",8,9.0
[도서],그의 운명에 대한 아주 개인적인 생각,https://www.yes24.com/Product/Goods/127094902,"
유시민 저
                            ",,생각의길,2024년 06월,"15,120",840원,"441,072",416,9.2
[도서],초역 부처의 말 ,https://www.yes24.com/Product/Goods/126590468,['\n코이케 류노스케 저'],"박재현 역
                            ",포레스트북스,2024년 05월,"16,020",890원,"183,723",84,9.7
[도서],신화의 숲,https://www.yes24.com/Product/Goods/126511412,"
김헌 저
                            ",,포레스트북스,2024년 05월,"16,200",900원,"190,188",67,9.8
[도서],모순,https://www.yes24.com/Product/Goods/8759796,"
양귀자 저
                            ",,쓰다,2013년 04월,"11,700",650원,"339,333","1,020",9.6
[도서],내 몸 혁명,https://www.yes24.com/Product/Goods/124225606,"
박용우 저
                            ",,루미너스,2024년 01월,"17,550",970원,"230,985",80,9.7
[도서],마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),https://www.yes24.com/Product/Goods/122120495,"
강용수 저
                            ",,유노북스,2023년 09월,"15,300",850원,"946,212",548,8.6
[도서],"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",https://www.yes24.com/Product/Goods/123930891,"
최태성 저
                            ",,이투스북 ,2023년 12월,"13,950",770원,"380,514",72,10.0
[도서],"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",https://www.yes24.com/Product/Goods/123930880,"
최태성 저
                            ",,이투스북 ,2023년 12월,"14,400",800원,"399,198",83,9.7
[도서],THE MONEY BOOK 더 머니북,https://www.yes24.com/Product/Goods/126702038,"
토스 저
                            ",,비바리퍼블리카,2024년 05월,"19,800","1,100원","199,683",80,8.9
[도서],언젠가 우리가 같은 별을 바라본다면,https://www.yes24.com/Product/Goods/104663596,"
차인표 저
                            ",,해결책,2021년 12월,"10,800",600원,"118,401",96,9.8
